Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),4.60,0.00,9.27,,,,,,4.61,,4.62,4.63,4.64,0.09
Active Decode Throughput Per User (tokens/sec/user),4.60,0.00,9.27,,,,,,4.61,,4.62,4.63,4.64,0.09
Active Prefill Throughput (tokens/sec),1157.27,1150.95,1170.20,,,,,,1155.33,,1170.20,1170.20,1170.20,6.83
Active Prefill Throughput Per User (tokens/sec/user),1157.27,1150.95,1170.20,,,,,,1155.33,,1170.20,1170.20,1170.20,6.83
Active Total Throughput (tokens/sec),9.17,4.60,1170.20,,,,,,4.60,,4.60,4.60,4.60,72.43
Credit-to-Start Latency (ms),2.44,1.27,3.18,12.19,1.29,1.36,1.45,1.71,2.92,3.10,3.15,3.16,3.18,0.79
Decode Duration (ms),217091.36,216942.03,217325.47,1085456.78,216943.47,216949.21,216956.38,216977.90,217039.77,217171.60,217263.93,217294.70,217319.32,140.77
E2E Output Token Throughput (tokens/sec/user),4.59,4.58,4.59,22.94,4.58,4.58,4.58,4.59,4.59,4.59,4.59,4.59,4.59,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Throughput (tokens/sec),4.58,0.00,9.27,,,,,,4.61,,4.62,4.63,4.64,0.30
Effective Decode Throughput Per User (tokens/sec/user),4.58,0.00,9.27,,,,,,4.61,,4.62,4.63,4.64,0.30
Effective Latency (CO-aware) (ms),217957.90,217810.51,218194.91,1089789.48,217811.44,217815.16,217819.80,217833.73,217906.70,218043.63,218134.40,218164.66,218188.86,143.73
Effective Prefill Concurrency,0.00,0.00,1.00,,,,,,0.00,,0.00,0.00,0.00,0.06
Effective Prefill Throughput (tokens/sec),4.59,0.00,1170.20,,,,,,0.00,,0.00,0.00,0.00,72.72
Effective Prefill Throughput Per User (tokens/sec/user),4.59,0.00,1170.20,,,,,,0.00,,0.00,0.00,0.00,72.72
